# name	codepoint - generated from the face with fontTools; regenerate if the .ttf is replaced
keyboard	e000
keyboard_0	e001
keyboard_0_outline	e002
keyboard_1	e003
keyboard_1_outline	e004
keyboard_2	e005
keyboard_2_outline	e006
keyboard_3	e007
keyboard_3_outline	e008
keyboard_4	e009
keyboard_4_outline	e00a
keyboard_5	e00b
keyboard_5_outline	e00c
keyboard_6	e00d
keyboard_6_outline	e00e
keyboard_7	e00f
keyboard_7_outline	e010
keyboard_8	e011
keyboard_8_outline	e012
keyboard_9	e013
keyboard_9_outline	e014
keyboard_a	e015
keyboard_a_outline	e016
keyboard_alt	e017
keyboard_alt_outline	e018
keyboard_any	e019
keyboard_any_outline	e01a
keyboard_apostrophe	e01b
keyboard_apostrophe_outline	e01c
keyboard_arrow_down	e01d
keyboard_arrow_down_outline	e01e
keyboard_arrow_left	e01f
keyboard_arrow_left_outline	e020
keyboard_arrow_right	e021
keyboard_arrow_right_outline	e022
keyboard_arrow_up	e023
keyboard_arrow_up_outline	e024
keyboard_arrows	e025
keyboard_arrows_all	e026
keyboard_arrows_down	e027
keyboard_arrows_down_outline	e028
keyboard_arrows_horizontal	e029
keyboard_arrows_horizontal_outline	e02a
keyboard_arrows_left	e02b
keyboard_arrows_left_outline	e02c
keyboard_arrows_none	e02d
keyboard_arrows_right	e02e
keyboard_arrows_right_outline	e02f
keyboard_arrows_up	e030
keyboard_arrows_up_outline	e031
keyboard_arrows_vertical	e032
keyboard_arrows_vertical_outline	e033
keyboard_asterisk	e034
keyboard_asterisk_outline	e035
keyboard_b	e036
keyboard_b_outline	e037
keyboard_backspace	e038
keyboard_backspace_icon	e039
keyboard_backspace_icon_alternative	e03a
keyboard_backspace_icon_alternative_outline	e03b
keyboard_backspace_icon_outline	e03c
keyboard_backspace_outline	e03d
keyboard_bracket_close	e03e
keyboard_bracket_close_outline	e03f
keyboard_bracket_greater	e040
keyboard_bracket_greater_outline	e041
keyboard_bracket_less	e042
keyboard_bracket_less_outline	e043
keyboard_bracket_open	e044
keyboard_bracket_open_outline	e045
keyboard_c	e046
keyboard_c_outline	e047
keyboard_capslock	e048
keyboard_capslock_icon	e049
keyboard_capslock_icon_outline	e04a
keyboard_capslock_outline	e04b
keyboard_caret	e04c
keyboard_caret_outline	e04d
keyboard_colon	e04e
keyboard_colon_outline	e04f
keyboard_comma	e050
keyboard_comma_outline	e051
keyboard_command	e052
keyboard_command_outline	e053
keyboard_ctrl	e054
keyboard_ctrl_outline	e055
keyboard_d	e056
keyboard_d_outline	e057
keyboard_delete	e058
keyboard_delete_outline	e059
keyboard_e	e05a
keyboard_e_outline	e05b
keyboard_end	e05c
keyboard_end_outline	e05d
keyboard_enter	e05e
keyboard_enter_outline	e05f
keyboard_equals	e060
keyboard_equals_outline	e061
keyboard_escape	e062
keyboard_escape_outline	e063
keyboard_exclamation	e064
keyboard_exclamation_outline	e065
keyboard_f	e066
keyboard_f1	e067
keyboard_f10	e068
keyboard_f10_outline	e069
keyboard_f11	e06a
keyboard_f11_outline	e06b
keyboard_f12	e06c
keyboard_f12_outline	e06d
keyboard_f1_outline	e06e
keyboard_f2	e06f
keyboard_f2_outline	e070
keyboard_f3	e071
keyboard_f3_outline	e072
keyboard_f4	e073
keyboard_f4_outline	e074
keyboard_f5	e075
keyboard_f5_outline	e076
keyboard_f6	e077
keyboard_f6_outline	e078
keyboard_f7	e079
keyboard_f7_outline	e07a
keyboard_f8	e07b
keyboard_f8_outline	e07c
keyboard_f9	e07d
keyboard_f9_outline	e07e
keyboard_f_outline	e07f
keyboard_function	e080
keyboard_function_outline	e081
keyboard_g	e082
keyboard_g_outline	e083
keyboard_h	e084
keyboard_h_outline	e085
keyboard_home	e086
keyboard_home_outline	e087
keyboard_i	e088
keyboard_i_outline	e089
keyboard_insert	e08a
keyboard_insert_outline	e08b
keyboard_j	e08c
keyboard_j_outline	e08d
keyboard_k	e08e
keyboard_k_outline	e08f
keyboard_l	e090
keyboard_l_outline	e091
keyboard_m	e092
keyboard_m_outline	e093
keyboard_minus	e094
keyboard_minus_outline	e095
keyboard_n	e096
keyboard_n_outline	e097
keyboard_numlock	e098
keyboard_numlock_outline	e099
keyboard_numpad_enter	e09a
keyboard_numpad_enter_outline	e09b
keyboard_numpad_plus	e09c
keyboard_numpad_plus_outline	e09d
keyboard_o	e09e
keyboard_o_outline	e09f
keyboard_option	e0a0
keyboard_option_outline	e0a1
keyboard_outline	e0a2
keyboard_p	e0a3
keyboard_p_outline	e0a4
keyboard_page_down	e0a5
keyboard_page_down_outline	e0a6
keyboard_page_up	e0a7
keyboard_page_up_outline	e0a8
keyboard_period	e0a9
keyboard_period_outline	e0aa
keyboard_plus	e0ab
keyboard_plus_outline	e0ac
keyboard_printscreen	e0ad
keyboard_printscreen_outline	e0ae
keyboard_q	e0af
keyboard_q_outline	e0b0
keyboard_question	e0b1
keyboard_question_outline	e0b2
keyboard_quote	e0b3
keyboard_quote_outline	e0b4
keyboard_r	e0b5
keyboard_r_outline	e0b6
keyboard_return	e0b7
keyboard_return_outline	e0b8
keyboard_s	e0b9
keyboard_s_outline	e0ba
keyboard_semicolon	e0bb
keyboard_semicolon_outline	e0bc
keyboard_shift	e0bd
keyboard_shift_icon	e0be
keyboard_shift_icon_outline	e0bf
keyboard_shift_outline	e0c0
keyboard_slash_back	e0c1
keyboard_slash_back_outline	e0c2
keyboard_slash_forward	e0c3
keyboard_slash_forward_outline	e0c4
keyboard_space	e0c5
keyboard_space_icon	e0c6
keyboard_space_icon_outline	e0c7
keyboard_space_outline	e0c8
keyboard_t	e0c9
keyboard_t_outline	e0ca
keyboard_tab	e0cb
keyboard_tab_icon	e0cc
keyboard_tab_icon_alternative	e0cd
keyboard_tab_icon_alternative_outline	e0ce
keyboard_tab_icon_outline	e0cf
keyboard_tab_outline	e0d0
keyboard_tilde	e0d1
keyboard_tilde_outline	e0d2
keyboard_u	e0d3
keyboard_u_outline	e0d4
keyboard_v	e0d5
keyboard_v_outline	e0d6
keyboard_w	e0d7
keyboard_w_outline	e0d8
keyboard_win	e0d9
keyboard_win_outline	e0da
keyboard_x	e0db
keyboard_x_outline	e0dc
keyboard_y	e0dd
keyboard_y_outline	e0de
keyboard_z	e0df
keyboard_z_outline	e0e0
mouse	e0e1
mouse_horizontal	e0e2
mouse_left	e0e3
mouse_left_outline	e0e4
mouse_move	e0e5
mouse_outline	e0e6
mouse_right	e0e7
mouse_right_outline	e0e8
mouse_scroll	e0e9
mouse_scroll_down	e0ea
mouse_scroll_down_outline	e0eb
mouse_scroll_outline	e0ec
mouse_scroll_up	e0ed
mouse_scroll_up_outline	e0ee
mouse_scroll_vertical	e0ef
mouse_scroll_vertical_outline	e0f0
mouse_small	e0f1
mouse_vertical	e0f2
