# name	codepoint - generated from the face with fontTools; regenerate if the .ttf is replaced
controller_playstation1	e000
controller_playstation2	e001
controller_playstation3	e002
controller_playstation4	e003
controller_playstation5	e004
playstation3_button_select	e005
playstation3_button_select_outline	e006
playstation3_button_start	e007
playstation3_button_start_outline	e008
playstation4_button_options	e009
playstation4_button_options_outline	e00a
playstation4_button_share	e00b
playstation4_button_share_outline	e00c
playstation4_touchpad	e00d
playstation4_touchpad_outline	e00e
playstation4_touchpad_press	e00f
playstation4_touchpad_press_center	e010
playstation4_touchpad_press_left	e011
playstation4_touchpad_press_right	e012
playstation4_touchpad_selected	e013
playstation4_touchpad_swipe_down	e014
playstation4_touchpad_swipe_horizontal	e015
playstation4_touchpad_swipe_left	e016
playstation4_touchpad_swipe_right	e017
playstation4_touchpad_swipe_up	e018
playstation4_touchpad_swipe_vertical	e019
playstation4_touchpad_touch	e01a
playstation4_touchpad_touch_outline	e01b
playstation5_button_create	e01c
playstation5_button_create_alternative	e01d
playstation5_button_create_alternative_outline	e01e
playstation5_button_create_outline	e01f
playstation5_button_mute	e020
playstation5_button_mute_outline	e021
playstation5_button_options	e022
playstation5_button_options_alternative	e023
playstation5_button_options_alternative_outline	e024
playstation5_button_options_outline	e025
playstation5_elite_fn_l	e026
playstation5_elite_fn_l_outline	e027
playstation5_elite_fn_r	e028
playstation5_elite_fn_r_outline	e029
playstation5_elite_lb	e02a
playstation5_elite_lb_outline	e02b
playstation5_elite_rb	e02c
playstation5_elite_rb_outline	e02d
playstation5_touchpad	e02e
playstation5_touchpad_outline	e02f
playstation5_touchpad_press	e030
playstation5_touchpad_press_center	e031
playstation5_touchpad_press_left	e032
playstation5_touchpad_press_right	e033
playstation5_touchpad_selected	e034
playstation5_touchpad_swipe_down	e035
playstation5_touchpad_swipe_horizontal	e036
playstation5_touchpad_swipe_left	e037
playstation5_touchpad_swipe_right	e038
playstation5_touchpad_swipe_up	e039
playstation5_touchpad_swipe_vertical	e03a
playstation5_touchpad_touch	e03b
playstation5_touchpad_touch_outline	e03c
playstation_button_analog	e03d
playstation_button_analog_outline	e03e
playstation_button_circle	e03f
playstation_button_circle_outline	e040
playstation_button_color_circle	e041
playstation_button_color_circle_outline	e042
playstation_button_color_cross	e043
playstation_button_color_cross_outline	e044
playstation_button_color_square	e045
playstation_button_color_square_outline	e046
playstation_button_color_triangle	e047
playstation_button_color_triangle_outline	e048
playstation_button_cross	e049
playstation_button_cross_outline	e04a
playstation_button_l3	e04b
playstation_button_l3_outline	e04c
playstation_button_r3	e04d
playstation_button_r3_outline	e04e
playstation_button_square	e04f
playstation_button_square_outline	e050
playstation_button_triangle	e051
playstation_button_triangle_outline	e052
playstation_dpad	e053
playstation_dpad_all	e054
playstation_dpad_down	e055
playstation_dpad_down_outline	e056
playstation_dpad_horizontal	e057
playstation_dpad_horizontal_outline	e058
playstation_dpad_left	e059
playstation_dpad_left_outline	e05a
playstation_dpad_none	e05b
playstation_dpad_right	e05c
playstation_dpad_right_outline	e05d
playstation_dpad_up	e05e
playstation_dpad_up_outline	e05f
playstation_dpad_vertical	e060
playstation_dpad_vertical_outline	e061
playstation_stick_l	e062
playstation_stick_l_down	e063
playstation_stick_l_horizontal	e064
playstation_stick_l_left	e065
playstation_stick_l_press	e066
playstation_stick_l_right	e067
playstation_stick_l_up	e068
playstation_stick_l_vertical	e069
playstation_stick_r	e06a
playstation_stick_r_down	e06b
playstation_stick_r_horizontal	e06c
playstation_stick_r_left	e06d
playstation_stick_r_press	e06e
playstation_stick_r_right	e06f
playstation_stick_r_up	e070
playstation_stick_r_vertical	e071
playstation_stick_side_l	e072
playstation_stick_side_r	e073
playstation_stick_top_l	e074
playstation_stick_top_r	e075
playstation_trigger_l1	e076
playstation_trigger_l1_alternative	e077
playstation_trigger_l1_alternative_outline	e078
playstation_trigger_l1_outline	e079
playstation_trigger_l2	e07a
playstation_trigger_l2_alternative	e07b
playstation_trigger_l2_alternative_outline	e07c
playstation_trigger_l2_outline	e07d
playstation_trigger_r1	e07e
playstation_trigger_r1_alternative	e07f
playstation_trigger_r1_alternative_outline	e080
playstation_trigger_r1_outline	e081
playstation_trigger_r2	e082
playstation_trigger_r2_alternative	e083
playstation_trigger_r2_alternative_outline	e084
playstation_trigger_r2_outline	e085
