# name	codepoint - generated from the face with fontTools; regenerate if the .ttf is replaced
controller_steamdeck	e000
steamdeck_button_a	e001
steamdeck_button_a_outline	e002
steamdeck_button_b	e003
steamdeck_button_b_outline	e004
steamdeck_button_guide	e005
steamdeck_button_guide_outline	e006
steamdeck_button_l1	e007
steamdeck_button_l1_outline	e008
steamdeck_button_l2	e009
steamdeck_button_l2_outline	e00a
steamdeck_button_l4	e00b
steamdeck_button_l4_outline	e00c
steamdeck_button_l5	e00d
steamdeck_button_l5_outline	e00e
steamdeck_button_options	e00f
steamdeck_button_options_outline	e010
steamdeck_button_quickaccess	e011
steamdeck_button_quickaccess_outline	e012
steamdeck_button_r1	e013
steamdeck_button_r1_outline	e014
steamdeck_button_r2	e015
steamdeck_button_r2_outline	e016
steamdeck_button_r4	e017
steamdeck_button_r4_outline	e018
steamdeck_button_r5	e019
steamdeck_button_r5_outline	e01a
steamdeck_button_view	e01b
steamdeck_button_view_outline	e01c
steamdeck_button_x	e01d
steamdeck_button_x_outline	e01e
steamdeck_button_y	e01f
steamdeck_button_y_outline	e020
steamdeck_dpad	e021
steamdeck_dpad_all	e022
steamdeck_dpad_down	e023
steamdeck_dpad_down_outline	e024
steamdeck_dpad_horizontal	e025
steamdeck_dpad_horizontal_outline	e026
steamdeck_dpad_left	e027
steamdeck_dpad_left_outline	e028
steamdeck_dpad_none	e029
steamdeck_dpad_right	e02a
steamdeck_dpad_right_outline	e02b
steamdeck_dpad_up	e02c
steamdeck_dpad_up_outline	e02d
steamdeck_dpad_vertical	e02e
steamdeck_dpad_vertical_outline	e02f
steamdeck_stick_l	e030
steamdeck_stick_l_down	e031
steamdeck_stick_l_horizontal	e032
steamdeck_stick_l_left	e033
steamdeck_stick_l_press	e034
steamdeck_stick_l_right	e035
steamdeck_stick_l_up	e036
steamdeck_stick_l_vertical	e037
steamdeck_stick_r	e038
steamdeck_stick_r_down	e039
steamdeck_stick_r_horizontal	e03a
steamdeck_stick_r_left	e03b
steamdeck_stick_r_press	e03c
steamdeck_stick_r_right	e03d
steamdeck_stick_r_up	e03e
steamdeck_stick_r_vertical	e03f
steamdeck_stick_side_l	e040
steamdeck_stick_side_r	e041
steamdeck_stick_top_l	e042
steamdeck_stick_top_r	e043
steamdeck_trackpad	e044
steamdeck_trackpad_all	e045
steamdeck_trackpad_all_outline	e046
steamdeck_trackpad_down	e047
steamdeck_trackpad_down_outline	e048
steamdeck_trackpad_horizontal	e049
steamdeck_trackpad_horizontal_outline	e04a
steamdeck_trackpad_l	e04b
steamdeck_trackpad_l_all	e04c
steamdeck_trackpad_l_all_outline	e04d
steamdeck_trackpad_l_down	e04e
steamdeck_trackpad_l_down_outline	e04f
steamdeck_trackpad_l_horizontal	e050
steamdeck_trackpad_l_horizontal_outline	e051
steamdeck_trackpad_l_left	e052
steamdeck_trackpad_l_left_outline	e053
steamdeck_trackpad_l_outline	e054
steamdeck_trackpad_l_right	e055
steamdeck_trackpad_l_right_outline	e056
steamdeck_trackpad_l_up	e057
steamdeck_trackpad_l_up_outline	e058
steamdeck_trackpad_l_vertical	e059
steamdeck_trackpad_l_vertical_outline	e05a
steamdeck_trackpad_left	e05b
steamdeck_trackpad_left_outline	e05c
steamdeck_trackpad_outline	e05d
steamdeck_trackpad_r	e05e
steamdeck_trackpad_r_all	e05f
steamdeck_trackpad_r_all_outline	e060
steamdeck_trackpad_r_down	e061
steamdeck_trackpad_r_down_outline	e062
steamdeck_trackpad_r_horizontal	e063
steamdeck_trackpad_r_horizontal_outline	e064
steamdeck_trackpad_r_left	e065
steamdeck_trackpad_r_left_outline	e066
steamdeck_trackpad_r_outline	e067
steamdeck_trackpad_r_right	e068
steamdeck_trackpad_r_right_outline	e069
steamdeck_trackpad_r_up	e06a
steamdeck_trackpad_r_up_outline	e06b
steamdeck_trackpad_r_vertical	e06c
steamdeck_trackpad_r_vertical_outline	e06d
steamdeck_trackpad_right	e06e
steamdeck_trackpad_right_outline	e06f
steamdeck_trackpad_up	e070
steamdeck_trackpad_up_outline	e071
steamdeck_trackpad_vertical	e072
steamdeck_trackpad_vertical_outline	e073
