# name	codepoint - generated from the face with fontTools; regenerate if the .ttf is replaced
controller_xbox360	e000
controller_xbox_adaptive	e001
controller_xboxone	e002
controller_xboxseries	e003
xbox_button_a	e004
xbox_button_a_outline	e005
xbox_button_b	e006
xbox_button_b_outline	e007
xbox_button_back	e008
xbox_button_back_icon	e009
xbox_button_back_icon_outline	e00a
xbox_button_back_outline	e00b
xbox_button_color_a	e00c
xbox_button_color_a_outline	e00d
xbox_button_color_b	e00e
xbox_button_color_b_outline	e00f
xbox_button_color_x	e010
xbox_button_color_x_outline	e011
xbox_button_color_y	e012
xbox_button_color_y_outline	e013
xbox_button_menu	e014
xbox_button_menu_outline	e015
xbox_button_share	e016
xbox_button_share_outline	e017
xbox_button_start	e018
xbox_button_start_icon	e019
xbox_button_start_icon_outline	e01a
xbox_button_start_outline	e01b
xbox_button_view	e01c
xbox_button_view_outline	e01d
xbox_button_x	e01e
xbox_button_x_outline	e01f
xbox_button_y	e020
xbox_button_y_outline	e021
xbox_dpad	e022
xbox_dpad_all	e023
xbox_dpad_down	e024
xbox_dpad_down_outline	e025
xbox_dpad_horizontal	e026
xbox_dpad_horizontal_outline	e027
xbox_dpad_left	e028
xbox_dpad_left_outline	e029
xbox_dpad_none	e02a
xbox_dpad_right	e02b
xbox_dpad_right_outline	e02c
xbox_dpad_round	e02d
xbox_dpad_round_all	e02e
xbox_dpad_round_down	e02f
xbox_dpad_round_horizontal	e030
xbox_dpad_round_left	e031
xbox_dpad_round_right	e032
xbox_dpad_round_up	e033
xbox_dpad_round_vertical	e034
xbox_dpad_up	e035
xbox_dpad_up_outline	e036
xbox_dpad_vertical	e037
xbox_dpad_vertical_outline	e038
xbox_elite_paddle_bottom_left	e039
xbox_elite_paddle_bottom_left_outline	e03a
xbox_elite_paddle_bottom_right	e03b
xbox_elite_paddle_bottom_right_outline	e03c
xbox_elite_paddle_top_left	e03d
xbox_elite_paddle_top_left_outline	e03e
xbox_elite_paddle_top_right	e03f
xbox_elite_paddle_top_right_outline	e040
xbox_guide	e041
xbox_guide_outline	e042
xbox_lb	e043
xbox_lb_outline	e044
xbox_ls	e045
xbox_ls_outline	e046
xbox_lt	e047
xbox_lt_outline	e048
xbox_rb	e049
xbox_rb_outline	e04a
xbox_rs	e04b
xbox_rs_outline	e04c
xbox_rt	e04d
xbox_rt_outline	e04e
xbox_stick_l	e04f
xbox_stick_l_down	e050
xbox_stick_l_horizontal	e051
xbox_stick_l_left	e052
xbox_stick_l_press	e053
xbox_stick_l_right	e054
xbox_stick_l_up	e055
xbox_stick_l_vertical	e056
xbox_stick_r	e057
xbox_stick_r_down	e058
xbox_stick_r_horizontal	e059
xbox_stick_r_left	e05a
xbox_stick_r_press	e05b
xbox_stick_r_right	e05c
xbox_stick_r_up	e05d
xbox_stick_r_vertical	e05e
xbox_stick_side_l	e05f
xbox_stick_side_r	e060
xbox_stick_top_l	e061
xbox_stick_top_r	e062
